Topic,Count,Name,Representation,Readable,MMR Keywords
-1,2035,-1_vacuna covid_defensa vacunaste_vacunación_vacuna,"['vacuna covid', 'defensa vacunaste', 'vacunación', 'vacuna', 'vacunas', 'primera vacuna', 'dosis vacuna', 'vacunaste', 'vacuna co', 'vacuna móvil']",['vacunación COVID-19'],"['vacuna covid', 'defensa vacunaste', 'vacunación', 'primera vacuna', 'dosis vacuna', 'vacuna móvil', 'vacuna fiebre', 'mejor defensa', 'carne vacuna', 'pfizer']"
0,106,0_mspas vacuna_mspas comparte_mqrwj6g0pm planvacunacovid19_mqrwj6fsae planvacunacovid19,"['mspas vacuna', 'mspas comparte', 'mqrwj6g0pm planvacunacovid19', 'mqrwj6fsae planvacunacovid19', 'planvacunacovid19', 'primera dosis', 'planvacunacovid19 co', 'vacuna covid19', 'mspas recomienda', 'días vacunaste']",['COVID-19 Vaccination Updates by MSPAS'],"['mspas vacuna', 'mspas comparte', 'mqrwj6g0pm planvacunacovid19', 'mqrwj6fsae planvacunacovid19', 'planvacunacovid19 co', 'vacuna covid19', 'mspas recomienda', 'días vacunaste', 'yf2icakyea planvacunacovid19', 'hfjupsyhr2 mspas']"
1,537,1_vacuna mascota_vacuna rabia_noviembre vacuna_jornadadevacunacióncontralarabia cuida,"['vacuna mascota', 'vacuna rabia', 'noviembre vacuna', 'jornadadevacunacióncontralarabia cuida', 'octubre vacuna', 'solicita vacuna', 'vacuna antirrábica', 'jornadadevacunacióncontralarabia', 'canina solicita', 'mascotas']",['Jornada de vacunación antirrábica para mascotas en octubre'],"['vacuna mascota', 'vacuna rabia', 'noviembre vacuna', 'jornadadevacunacióncontralarabia cuida', 'solicita vacuna', 'vacuna antirrábica', 'canina solicita', 'mascotas', 'antirrábica canina', 'queridos rabia']"
2,511,2_vacuna vph_solicitar vacuna_vacuna papiloma_solicita vacuna,"['vacuna vph', 'solicitar vacuna', 'vacuna papiloma', 'solicita vacuna', 'vph dejes', 'vacunavph protege', 'recibido vacuna', 'vacunación', 'vacuna', 'vacuna virus']",['Vacunación VPH para jóvenes de 9 a 16 años'],"['vacuna vph', 'solicitar vacuna', 'vacuna papiloma', 'vph dejes', 'vacunavph protege', 'cuidamos vacuna', 'humano vph', 'prevención niñas', 'papiloma humano', 'salud cercano']"
3,786,3_dengue vacuna_vacuna dengue_primera vacuna_nueva vacuna,"['dengue vacuna', 'vacuna dengue', 'primera vacuna', 'nueva vacuna', 'segunda vacuna', 'dengue desarrollada', 'vacuna malaria', 'vacuna qdenga', 'vacunas', 'dengue']",['vacunas contra el dengue'],"['dengue vacuna', 'vacuna dengue', 'primera vacuna', 'nueva vacuna', 'segunda vacuna', 'dengue desarrollada', 'vacuna malaria', 'vacuna qdenga', 'salud oms', 'mosquitos']"
4,137,4_polio vacuna_vacuna polio_vacuna poliomielitis_polio enfermedad,"['polio vacuna', 'vacuna polio', 'vacuna poliomielitis', 'polio enfermedad', 'primera vacuna', 'jonas salk', 'polio', 'vacuna viruela', 'desarrollar vacuna', 'vacuna']",['History and Development of Vaccines (Smallpox and Polio)'],"['polio vacuna', 'vacuna polio', 'vacuna poliomielitis', 'polio enfermedad', 'primera vacuna', 'jonas salk', 'vacuna viruela', 'desarrollar vacuna', 'nueva vacuna', 'millones vidas']"
5,628,5_astrazeneca admite_astrazeneca admitió_vacuna astrazeneca_astrazeneca retira,"['astrazeneca admite', 'astrazeneca admitió', 'vacuna astrazeneca', 'astrazeneca retira', 'astrazeneca covid', 'covid astrazeneca', 'astrazeneca retirará', 'farmacéutica astrazeneca', 'astrazeneca', 'astrazeneca dejará']",['AstraZeneca vaccine admits potential side effects such as thrombosis'],"['astrazeneca admite', 'vacuna astrazeneca', 'astrazeneca retira', 'covid astrazeneca', 'astrazeneca retirará', 'farmacéutica astrazeneca', 'astrazeneca dejará', 'secundarios trombosis', 'admite vacuna', 'covid puede']"
6,183,6_vacuna cáncer_vacuna melanoma_cáncer piel_vacuna personalizada,"['vacuna cáncer', 'vacuna melanoma', 'cáncer piel', 'vacuna personalizada', 'nueva vacuna', 'vacuna desarrollada', 'vacuna', 'personalizada cáncer', 'primera vacuna', 'inmunoterapia']",['Vacuna personalizada contra el cáncer de piel'],"['vacuna cáncer', 'vacuna melanoma', 'cáncer piel', 'vacuna personalizada', 'nueva vacuna', 'personalizada cáncer', 'inmunoterapia', 'pacientes melanoma', 'vacuna experimental', 'resultados prometedores']"
7,112,7_vacuna rusa_vacuna cancer_cáncer putin_vacuna sputnik,"['vacuna rusa', 'vacuna cancer', 'cáncer putin', 'vacuna sputnik', 'vacuna cáncer', 'anuncia vacuna', 'crear vacuna', 'vacunas cáncer', 'científicos rusos', 'rusia anuncia']",['Rusia anuncia avances en vacuna contra el cáncer'],"['vacuna rusa', 'vacuna cancer', 'cáncer putin', 'vacuna sputnik', 'anuncia vacuna', 'vacunas cáncer', 'científicos rusos', 'rusia anuncia', 'putin relevó', 'desarrolla vacuna']"
8,158,8_vacuna cubana_vacuna abdala_nueva vacuna_vacuna quimi,"['vacuna cubana', 'vacuna abdala', 'nueva vacuna', 'vacuna quimi', 'vio vacuna', 'vacuna', 'vacuna antineumocócica', 'abdala vacuna', 'primera vacuna', 'vacuna terapéutica']",['Vacunas cubanas - Abdala y Quimi-Vio'],"['vacuna cubana', 'vacuna abdala', 'nueva vacuna', 'vio vacuna', 'vacuna antineumocócica', 'primera vacuna', 'vacuna terapéutica', 'cienciacubana', 'cubaessalud', 'biotecnológico farmacéutico']"
9,2191,9_vacuna influenza_vacunación_vacuna covid_inmunización,"['vacuna influenza', 'vacunación', 'vacuna covid', 'inmunización', 'vacuna hexavalente', 'nueva vacuna', 'vacuna actualizada', 'dosis vacuna', 'vacunas', 'vacuna']",['Vacunas y Proceso de Inmunización en Panamá'],"['vacuna influenza', 'vacuna covid', 'vacuna hexavalente', 'nueva vacuna', 'vacuna actualizada', 'dosis vacuna', 'vacunas', 'actualizada covid', 'vacuna sarampión', 'instalaciones salud']"
10,13437,10_vacuna covid_vacunas covid_vacunación_vacuna,"['vacuna covid', 'vacunas covid', 'vacunación', 'vacuna', 'vacunas', 'vacunados', 'efectos adversos', 'pandemia', 'enfermedad', 'covid']",['Vacunación COVID y controversias legales y de seguridad'],"['vacuna covid', 'vacunas covid', 'vacunados', 'efectos adversos', 'pandemia', 'covid 19', 'muertes', 'pfizer', 'verdad', 'después']"
